EnterAccountCharacterInfo,Enter your account & character information
CharacterName,Character name (letters & spaces)
AccountName,Account name (letters & numbers)
Password,Account password (letters & numbers)
ConfirmPassword,Confirm password (letters & numbers)
Email,"Email (optional, to recover password)"
CreateAccount,Create your account
AccountAlreadyExists,Your account already exists?
Login,Login
CreatingCharacter,Creating your character...
Error,Error:
InvalidData,"Invalid character, account name, password or email"
BothPasswordDoNotMatch,Both passwords do not match
ImportBondageCollege,Import Bondage College data
InvalidServerAnswer,"Invalid server answer, it could be outdated."
