Welcome,Welcome to the Bondage Club
EnterNamePassword,Enter your name and password
AccountName,Account Name
Password,Password
Login,Login
Language,Language
CreateNewCharacter,Or create a new character
NewCharacter,New Character
ErrorLoadingCharacterData,Error loading character data
ErrorDisconnectedFromServer,Error: Disconnected from server
ErrorDuplicatedLogin,Disconnected for duplicated login
ValidatingNamePassword,Validating name and password...
Error,Error:
InvalidNamePassword,Invalid name or password
Cheats,Select Cheats
PasswordReset,Reset Password
ThankYou,Thank you
CreditTypeDevelopers,Developers
CreditTypeTranslators,Translators
CreditTypeSupport,Support
CreditTypePatrons,Sponsors
CreditTypeFans,And a huge thanks to the fans!
