EnterEmail,Enter your email to get the password reset information
SendEmail,Send the email
AccountName,Account name
ResetNumber,Reset number
Password1,New password (letters and numbers)
Password2,Enter the password again
ResetPassword,Reset password
Return,Return to login
QueryServer,Querying server for reset information...
InvalidEmail,Invalid email address
EmailSent,"The email was sent, check your inbox for more details"
EmailSentError,"Error while sending reset password email, please try later"
NoAccountOnEmail,There's no account linked to this email address
InvalidPasswordResetInfo,"Invalid password reset information, validate the reset number"
PasswordResetSuccessful,"Your password was reset, go back to the login screen to try it"
PasswordDoNotMatch,Both passwords must match
InvalidResetInfo,"Invalid information, please review the fields"
