PlayerGagged,,,It's strange to hear a gagged nurse.,,
TherapyVictory,,,That was a good therapy nurse DialogPlayerName.  I've learned from it.,,
TherapyDefeat,,,I'm sorry nurse DialogPlayerName.  I don't think this is working.,,
0,,,Oh my!  The famous doctor DialogPlayerName.  It's an honor.,,"DialogReputationGreater(""Asylum"", 100)"
0,,,Hello nurse DialogPlayerName.  I've heard about you.,,"DialogReputationGreater(""Asylum"", 50)"
0,,,Hello nurse.  Are you here for my treatment?,,
0,,How are you?,I admit I'm a little nervous.  I'm here for my therapy.,,
0,,You're here for a therapy?,"Absolutely.  I'm not sure what kind therapy I should do today though, you'll have to tell me.",,
0,,(Struggle in your restraints.),This is so weird.  I don't think I'm allowed to help you.,,Player.IsRestrained()
0,10,It's time for your treatment.,I'm ready nurse DialogPlayerName.  What are we focusing on today?,,!Player.IsRestrained()
0,,I must go.  (Leave her.),,DialogLeave(),
10,100,You will do a bondage therapy.,"(She nods slowly.)  I understand, how do we begin?",,
10,200,You will do a pain therapy.,"Oh my!  (She looks scared.)  Very well, how do we begin?",,
10,300,You will do a tickle therapy.,"(She giggles and nods.)  Very well, how do we begin?",,
10,400,You will do an orgasm therapy.,It sounds fascinating.  (She winks a you.)  How do we begin?,,
10,0,Let me review your file first.,"Of course, nurse DialogPlayerName.",,
100,110,By getting naked.,"Of course, nurse DialogPlayerName.  (She strips down nervously.)","DialogNaked(""CurrentCharacter"")",
100,110,Start by stripping.,"Of course, nurse DialogPlayerName.  (She strips down nervously.)","DialogNaked(""CurrentCharacter"")",
110,120,Don't worry.  I will only use a few restraints on you.,(She surrenders and allows you to restrain her with a few items you find in the room.  She gets a little nervous.),"PatientBondageIntro(-1, ""FEW"")",
110,120,I will now use some restraints on you.,(She surrenders and allows you to restrain her with some items you find in the room.  She gets a little nervous.),"PatientBondageIntro(0, """")",
110,120,"Patient, I will use lots of restraints on you.",(She surrenders and allows you to restrain her with lots of items you find in the room.  She gets a little nervous.),"PatientBondageIntro(1, ""LOT"")",
110,120,"Girl, you will experience a full bondage therapy.",(She surrenders and allows you to restrain her with all items you find in the room.  She gets a little nervous.),"PatientBondageIntro(2, ""ALL"")",
120,1000,(Pet and caress her to keep her calm.),(She takes long deep breathes and tries to relax.),,
120,1000,(Make sure her restraints aren't too tight.),(She takes long deep breathes and tries to relax.),,
120,1000,(Tighten her restraints a little.),(She whimpers and takes long deep breathes.),,
200,210,By getting naked.,"Of course, nurse DialogPlayerName.  (She strips down nervously.)","DialogNaked(""CurrentCharacter"")",
200,210,Start by stripping.,"Of course, nurse DialogPlayerName.  (She strips down nervously.)","DialogNaked(""CurrentCharacter"")",
210,220,"Get on your knees, hands behind your back.",(She seems nervous but complies.)  Yes.,PatientPainIntro(0),
210,220,"Kneel girl, and put your arms behind your back.","(She seems nervous but complies.)  Yes, nurse DialogPlayerName.",PatientPainIntro(1),
210,220,Please get on your knees and gently put your arms back.,(She slowly complies and gets on her knees.),PatientPainIntro(-1),
220,1000,Don't move until the pain therapy is over.,I will try my best Miss.  Please don't be too harsh with me.,,
220,1000,You're not allowed to stand up for the full treatment.,I will try my best Miss.  Please don't be too harsh with me.,,
300,310,By getting naked.,"Of course, nurse DialogPlayerName.  (She strips down nervously.)","DialogNaked(""CurrentCharacter"")",
300,310,Start by stripping.,"Of course, nurse DialogPlayerName.  (She strips down nervously.)","DialogNaked(""CurrentCharacter"")",
310,320,Hands behind you back.  You will be blind girl.,(She puts her hands behind her back and gives you one last curious look as you blindfold her.),PatientTickleIntro(1),
310,320,Please put your arms behind.  I will put a blindfold on you.,(She puts her hands behind her back and gives you one last curious look as you blindfold her.),PatientTickleIntro(-1),
310,320,"Patient, put your arms behind.  I will blindfold you.",(She puts her hands behind her back and gives you one last curious look as you blindfold her.),PatientTickleIntro(0),
320,1000,Surrender to me until the tickling therapy is over.,"(She tries to look around in vain.)  Yes, nurse DialogPlayerName.  Be careful, I'm very ticklish.",,
320,1000,You're not allowed to move for the full treatment.,"(She tries to look around in vain.)  Yes, nurse DialogPlayerName.  Be careful, I'm very ticklish.",,
400,410,By getting naked.,"Of course, nurse DialogPlayerName.  (She strips down nervously.)","DialogNaked(""CurrentCharacter"")",
400,410,Start by stripping.,"Of course, nurse DialogPlayerName.  (She strips down nervously.)","DialogNaked(""CurrentCharacter"")",
410,420,Please put your arms behind.  I will add something kinky.,(She puts her hands behind her back as you use a device on her breast.),PatientOrgasmIntro(-1),
410,420,Put your arms behind.  There's something for your breast.,(She puts her hands behind her back as you use a device on her breast.),PatientOrgasmIntro(0),
410,420,Hands behind you back.  I'll take care of your boobs first.,(She puts her hands behind her back as you use a device on her breast.),PatientOrgasmIntro(1),
420,1000,You're not allowed to cum until I say so.,(She seems already wet.)  It won't be easy for me nurse DialogPlayerName.  I'll try my best.,,
420,1000,I will control your sexual urges and orgasms.,(She seems already wet.)  It won't be easy for me nurse DialogPlayerName.  I'll try my best.,,
1000,,(Do an easy therapy for a lesser pay.),,"TherapyStart(""Easy"")",
1000,,(Do a regular therapy for a regular pay.),,"TherapyStart(""Normal"")",
1000,,(Do a tough therapy for a better pay.),,"TherapyStart(""Hard"")",
1100,1110,"I didn't do much, you were a good patient.",(She shrugs.)  I will make sure to spread good words on you.  You deserve your salary.,"DialogChangeReputation(""Dominant"", -1)",
1100,1110,"When I'm in control, it always works.",(She bows her head.)  I will make sure to spread good words on you.  You deserve your salary.,"DialogChangeReputation(""Dominant"", 3)",
1100,1110,"I'm glad it worked, and you could grow.",(She nods.)  I will make sure to spread good words on you.  You deserve your salary.,,
1110,1120,"Thanks, you're free to go now.","Very well, please help me to dress back up and I'll go back to my room.",,
1110,1120,Your therapy is done patient.,"Very well, please help me to dress back up and I'll go back to my room.",,
1120,0,(Help her to go and welcome a new patient.),,PatientNew(),
1200,1210,You were too stubborn to follow my orders.,"(She bows her head in shame.)  I know, I'm sorry about that.  I'll be better next time.","DialogChangeReputation(""Dominant"", 1)",
1200,1210,I've failed as a nurse.,"(She shakes her head no.)  Don't be ashamed, it will work better next time.","DialogChangeReputation(""Dominant"", -3)",
1200,1210,We'll try another therapy next time.,"(She nods slowly.)  Yes, another therapy might work better.",,
1210,1220,"Thanks, you're free to go now.","Very well, please help me to dress back up and I'll go back to my room.",,
1210,1220,Your therapy is done patient.,"Very well, please help me to dress back up and I'll go back to my room.",,
1220,0,(Help her to go and welcome a new patient.),,PatientNew(),
