PlayerGagged,,,"You may wear gags in the cafe, but they do make it much harder to eat and drink.",,
MaidDrinkOnline,,,Hello sister.  I see you are busy serving.  Come here and let me help you.,,
NotEnoughMoney,,,Sorry miss. You don't have enough money for that right now.,,
EnergyDrinkLimit,,,"(The maid takes your money and gives you a can of energy drink.  You consume it, but only feel invigorated and no more skillful than before.)",,
GlassMilkLimit,,,"(The maid takes your money and gives you a bottle of milk.  You consume it and feel comforted, but you don't feel any more confused or numb than you already were.)",,
CupcakeLimit,,,"(The maid takes your money and gives you your choice of cupcake.  You consume it, feeling as receptive and engaged as you already were.)",,
CantReleasePlayer,,,I'm sorry Miss.  I cannot help you.,,
ItemMouth,,,"(She first shakes her head to avoid the gag, but finally surrenders as you silence her.)",,
RemoveItemMouth,,,"(You remove her gag while she stretches her mouth.)  Thanks Miss, it's hard to dispatch maids with that gag.",,
ItemEars,,,(She grumbles while you push some earplugs in.) I can't hear you properly now.,,
RemoveItemEars,,,(You pull the earplugs out.) That's better I can hear you clearly now.,,
ItemArms,,,(She sighs and turns around while you restrain her arms.)  It might be a little hard to work like that Miss.,,
RemoveItemArms,,,(You free her arms and she nods happily.)  Thanks a lot Miss.,,
ItemHands,,,(She submits to you while restrain you hands.)  You are a kinky one.,,
RemoveItemHands,,,(You release her hands and she nods a little.)  Thank you Miss.,,
ItemLegs,,,(She submits to you while you restrain her legs securely.)  I don't need to move anyway.,,
RemoveItemLegs,,,(You release her legs from the restraint.)  Let me know if I can help you Miss.,,
ItemFeet,,,(She looks puzzled as you restrain her feet.)  I'll stay on guard here Miss.,,
RemoveItemFeet,,,"(You release her feet and she wiggles them.)  Thanks Miss, it was troublesome.",,
ItemNeck,,,(You strap the collar on her while she blushes.)  You're quite a Dominant Miss.,,
RemoveItemNeck,,,(You remove the collar around her neck.)  Thanks Miss.,,
ItemPelvis,,,(You snap the belt around her waist and crotch while she sighs.)  No more fun for the crew.,,
RemoveItemPelvis,,,"(You unlock the belt from her waist, and she smiles.)  Thanks a lot Miss DialogPlayerName.",,
ItemHead,,,(You strap the device on her head as she nods slowly.)  This will not make my job easier Miss.,,
RemoveItemHead,,,"(You remove the device and she nods rapidly.)  Thanks a million, this is much better.",,
ItemBreastLeatherWhip,,,(She jumps from the searing pain on her breast.)  Ouch!  Miss Head Maid!,,
ItemBreastLeatherCrop,,,(You whip her breast with the leather crop as she whimpers and bows her head.),,
ItemPelvisLeatherWhip,,,(You whip her butt hard as she sighs.)  I promise I'll work harder Miss Head Maid.,,
ItemPelvisLeatherCrop,,,(She grumbles as you strike her butt with the crop.)  A maid work isn't easy.,,
0,,,Greetings Mistress DialogPlayerName.  Welcome to the cafe.  How may I serve you?  (She does curtsies for you.),,"DialogLogQuery(""ClubMistress"", ""Management"")"
0,,,Greetings head maid DialogPlayerName.  Welcome to the cafe.  How may I serve you?  (She does curtsies for you.),,IsHeadMaid
0,,,"Hi sister, are you off duty? I'm sure you deserve a break.",,IsMaid
0,,,Hello and welcome to the cafe. Can I get you anything to eat or drink?,,!IsMaid
0,,Can I take drinks out of the bar to my friends?,"If you want to do that, I suggest you ask at the maid's quarter first.  They can set you up with a tray for carrying drinks.",,
0,10,What does the cafe serve?,"We have a range of food and drink on offer today, including some speciality items.",,
0,20,I would like to buy a regular drink.,"You could buy them here, but it's better for the maids serving these drinks if you buy from them instead.  Then they get a nice tip.",,
0,30,I would like to buy a speciality.,Certainly.  Which of our specials would you like to buy?,,MaidCanServe()
0,,I would like to buy a speciality.,"Certainly, but don't have time to feed you like a baby.  You need to free yourself first.",,PlayerCannotConsume()
0,,I would like to buy a speciality.,"I would love to serve you miss, but it's rather difficult to serve those right now.",,CafeMaidCannotServe()
0,,(Struggle in your restraints.),Sorry I am rather too busy serving the Cafe to release you now. Try one of the other maids in the main hall.,,Player.IsRestrained()
0,,That is all for now.  (Leave her.),,DialogLeave(),
10,,What are you regular refreshments?,We have a range of drinks.  Maids are regularly serving them around the club.,,
11,,What are your specialities?,"Today we have energy drinks, formula milk and freshly made cupcakes.",,
10,,What are your specialities?,Today we have energy drinks and some special milk that is very comforting.,,
10,,What is so special about those items?,Well the energy drinks are very stimulating for mind and body.  The nursery supplies this milk and the cupcakes seem to really amplify the mood you are in.,,
10,,They sound a bit suspicious.  Are you sure they are safe?,Of course they are Miss.  If there happens to be any side effects from them then I am sure they will only be temporary.,,
10,,Temporary side effects?,"Yes, some customers claimed our specialities had an effect on them, but only for an hour.",,
10,0,That is all I wanted to know.,Very well.  Can I get you anything?,,
20,0,Okay. I will catch one of them,,,
30,40,I would like an energy drink,Certainly miss. They are REPLACEMONEY $ per can.,EquirePrice(EnergyDrink),
30,40,I would like a glass of milk,Certainly miss. That is REPLACEMONEY $ per glass.,EquirePrice(GlassMilk),
31,40,I would like a cupcake,Certainly miss. They are REPLACEMONEY $ each.,EquirePrice(Cupcake),
30,0,"Actually, I won't have a special at the moment",That is quite alright.  Is there anything else you would like?,,
40,0,(Buy an energy drink.),(The maid takes your money and gives you a can of energy drink.  You consume it and feel invigorated and more skillful.),ConsumeSpeciiality(),Equired(EnergyDrink)
40,0,(Buy a glass of milk.),"(The maid takes your money and gives you a bottle of milk.  You consume it and feel comforted, but also slightly confused and numb.)",ConsumeSpeciiality(),Equired(GlassMilk)
40,0,(Buy cupcake.),"(The maid takes your money and gives you your choice of cupcake.  You consume it and feel more conscious, receptive and engaged.)",ConsumeSpeciiality(),Equired(Cupcake)
40,30,What were those other specials?,"We have energy drinks, milk and cupcakes.  Would you like one of them?",,
40,0,"Actually, I won't have a special at the moment",That is quite alright.  Is there anything else you would like?,,
90,,,"Hello sister.  I see you are busy serving.  I would love to help you, but it is rather difficult for me right now",,
90,,(Nod and go closer to her.),"(As a sister, she shares a bound cuddle with you.  She then resumes serving the cafe.)",,Player.IsRestrained()
90,,(Struggle in your restraints.),"Yes, it looks like you bound to serve with that tray.  Alas it is not so easy for me to run this cafe while bound.",,Player.IsRestrained()
90,,You should be able to work while bound.,Unfortunately running this cafe is not so easy as just hopping around the rooms with a tray full of drinks,,
90,0,I'm fine thanks.  (Leave her.),,DialogLeave(),
100,,,Hello sister.  I see you are busy serving.  Come here and let me help you.,,!OnlineDrinkCompleted()
100,,,Hello sister.  I see your tray is empty.  Come here and I'll refill it.,,OnlineDrinkCompleted()
100,110,(Nod and go closer to her.),I'll just top up that tray for you and check your bondage.,,
100,110,(Struggle in your restraints.),"Yes, it looks like you are good to serve. I'll still check them after I top up your tray.",,Player.IsRestrained()
100,0,I'm fine thanks.  (Leave her.),,DialogLeave(),
110,,Can I choose my restraints?,"No, you can not. Basic maids need to learn to accept their role with good grace and humility.",,IsMaidNoChoice()
110,120,Can I choose my restraints?,"I suppose you may, given how much you have served our sorority.",,IsMaidChoice()
110,120,I want some different bondage.,"Certainly, head maid DialogPlayerName. What style of bondage would you like to work in?",,IsHeadMaid
110,,(Stare at her and mumble into your gag.),(She removes your gag.) What is it head maid DialogPlayerName?,"DialogRemoveItem(""ItemMouth"")",IsGaggedHeadMaid()
110,,(Stare at her and mumble into your gag.),"(She removes your gag.) Seeing as how you have such a good rep in the sorority, I will let you talk for now.","DialogRemoveItem(""ItemMouth"")",IsGaggedSeniorMaid()
110,,(Stare at her and mumble into your gag.),(She shakes her head.)  Maids should remain gagged while serving drinks.,,IsGaggedMaid()
110,130,Thanks.,Anything to help a sister.  (She makes sure your tray is full and that you are securely bound for serving drinks.),RamdomBound(),
110,130,(Nod your head.),Anything to help a sister.  (She makes sure your tray is full and that you are securely bound for serving drinks.),RamdomBound(),
120,125,Shibari style with ropes.,"Yes, head maid DialogPlayerName.  (She gags and binds you tightly using classic bondage techniques.)",ServiceBound(Shibari),
120,125,"Use duct tape, lots of duct tape.","Yes, head maid DialogPlayerName.  (She uses a whole roll of duct tape on your body.)",ServiceBound(Tape),
