PlayerGagged,,,Being quiet is a good quality for students.,
DojoStruggleVictory,,,Domo arigato!  That was a great evasion demonstration.  I'm sure our students learned a lot from your techniques.,
DojoStruggleDefeat,,,"I'm sorry you could not make it, please practice your evasion techniques and come back when you're ready.",
0,10,I'm here for the money.,I guess it will do.  Our group today wish to learn the fine art of evasion.  Come here girls!  (Many students come in.),
0,10,I'm ready for anything!,Great spirit!  Our group today wish to learn the fine art of evasion.  Come here girls!  (Many students come in.),"DialogChangeReputation(""Dominant"", 2)"
0,10,What's the event?,This is perfect.  Our group today wish to learn the fine art of evasion.  Come here girls!  (Many students come in.),
0,10,Should I be scared?,Don't worry girl.  Our group today wish to learn the fine art of evasion.  Come here girls!  (Many students come in.),"DialogChangeReputation(""Dominant"", -2)"
10,20,It's a public event?,"Yes, I hope you're not prude.  You will be naked and restrained in front of our students.  Onegaishimasu strip.",
10,20,What should I do?,"It's really easy, you will be naked and restrained in front of our students.  Onegaishimasu strip.",
10,20,How can I help?,"I'll explain everything, you will be naked and restrained in front of our students.  Onegaishimasu strip.",
20,,Are you serious?,"Absolutely.  Onegaishimasu, strip for our class.",DialogRemove()
20,30,This is not cool.  (Strip reluctantly.),(You strip as she nods politely.)  Arigato.  Now turn around and give me your hands.,"DialogNaked(""Player"")"
20,30,(Stay silent and strip.),(You strip as she nods politely.)  Arigato.  Now turn around and give me your hands.,"DialogNaked(""Player"")"
30,,It's really necessary?,"(She nods and stays silent, showing your anatomy to her students.)",DialogRemove()
30,40,Make it tight!,"(She ties you up very slowly in a strange fashion, showing every knot she does to her students.)",DojoRestrainPlayer()
30,40,Don't go crazy.,"(She ties you up very slowly in a strange fashion, showing every knot she does to her students.)",DojoRestrainPlayer()
30,40,(Stay silent.),"(She ties you up very slowly in a strange fashion, showing every knot she does to her students.)",DojoRestrainPlayer()
40,50,Miss!  This is very tight.,It's an intriguing Shibari isn't it?  You'll have three chances to escape from it.  Please show every movements to our class.,"DialogChangeReputation(""Dominant"", -2)"
40,50,I can escape from any rope.,This will be your evasion challenge!  You'll have three tries.  Please show every movements to our class.,"DialogChangeReputation(""Dominant"", 2)"
40,50,(Struggle a little.),You'll have three chances to escape from this Shibari.  Please show every movements to our class.,
50,,(Start to struggle.),,DojoGameStart()
100,110,It's been my pleasure to struggle.,(She gives you 100$ for your efforts.)  I will certainly contact you again when the next class is ready.,"DialogChangeReputation(""Dominant"", -2)"
100,110,You can restrain me anytime Miss.,(She gives you 100$ for your efforts.)  I will certainly contact you again when the next class is ready.,"DialogChangeReputation(""Dominant"", -4)"
100,110,Next time I could restrain you.,(She smirks and gives you 100$ for your efforts.)  Check with the maids to know when the next class is ready.,"DialogChangeReputation(""Dominant"", 3)"
100,110,(Stay silent and nod.),(She gives you 100$ for your efforts.)  I might need you again for another class in the future.,
110,,Thank you!  (Leave her.),,End()
110,,(Take the money and leave her.),,End()
200,210,I feel so ashamed.,You should only be ashamed if you stopped trying.    Practice your evasion techniques and come back.,"DialogChangeReputation(""Dominant"", -2)"
200,210,I guess I need to practice.,"Yes, that's why I will leave you like that, so you can practice your evasion techniques.",
200,210,You will leave me like that?,Absolutely.  Onegaishimasu practice your evasion techniques and come back.,
200,210,I'll get better in no time.,A great attitude will help you to learn faster.  Practice your evasion techniques and come back when you're ready.,"DialogChangeReputation(""Dominant"", 1)"
210,220,(Leave her.),,End()
220,230,Can I try again?,"(She nods and makes sure you're naked.)  Yes, you can, turn around and give me your hands again.","DialogNaked(""Player"")"
220,230,I'll do better this time!,"(She nods and makes sure you're naked.)  I like your attitude, turn around and give me your hands.","DialogNaked(""Player"")"
230,240,Don't make it too tight.,(She restrains you skillfully.)  Please show every evasion movements you will do for our class.,DojoRestrainPlayer()
230,240,Do you worst girl.,(She restrains you skillfully.)  Please show every evasion movements you will do for our class.,DojoRestrainPlayer()
230,240,(Stay silent and give your hands.),(She restrains you skillfully.)  Please show every evasion movements you will do for our class.,DojoRestrainPlayer()
240,,(Start to struggle.),,DojoGameStart()
