PlayerGagged,,,Blessed those who have nothing to say and yet remain silent.,,
ItemMouth,,,(She shakes her head but you're able to gag and silence her.),,
RemoveItemMouth,,,(You remove her gag and she stretches her mouth.)  I was starting to drool...,,
ItemEars,,,(She grumbles while you push some earplugs in.) I can't hear you properly now.,,
RemoveItemEars,,,"(You pull the earplugs out.) That's better, I can hear you clearly now.",,
ItemArms,,,(She grumbles but complies as you restrain her arms.)  How am I supposed to roll the dice like this?,,
RemoveItemArms,,,(You free her arms and she gives you a thumbs up.)  That's better.,,
ItemHands,,,(She submits to you while restrain you hands.)  You're being very kinky now.,,
RemoveItemHands,,,(You release her hands and she nods a little.)  Thank you Miss.,,
ItemLegs,,,(She looks down as you restrain her legs securely.)  I'm not going anywhere anyway.,,
RemoveItemLegs,,,(You release her legs from the restraint.)  You're quite good with restraints Miss.,,
ItemFeet,,,(She looks puzzled as you restrain her feet.)  I don't plan to run anytime soon.,,
RemoveItemFeet,,,(You release her feet.)  Wonderful!,,
ItemNeck,,,(She struggles as you strap the collar around her neck.)  I'm not looking for an owner.,,
RemoveItemNeck,,,(You remove the collar from her neck.)  Yes!  This is much better.,,
ItemPelvis,,,"(She struggles as you lock the device on her.)  No, please!  I don't have the key for that!",,
RemoveItemPelvis,,,(She looks really happy as you unlock the device.)  Thank you so much Miss DialogPlayerName.,,
ItemHead,,,(You put the device on her as she shakes her head.)  Ow!  You've made my day much more awful.,,
RemoveItemHead,,,"(You remove the device and she nods rapidly.)  Thanks a million, this is much better.",,
ItemBreastLeatherWhip,,,"(She trembles of pain as you whip her breast.) This is a gambling hall, not a torture chamber.",,
ItemBreastLeatherCrop,,,"(You swing the crop at her torso as she moans.) Oh, this isn't a game anymore.",,
ItemPelvisLeatherWhip,,,(You whip her butt as she jumps from the pain.) I do not find that funny.,,
ItemPelvisLeatherCrop,,,(She moans each time the crop lands on it.) How will I be able to sit like this?,,
ItemTorso,,,I like my clothes better.,,
RemoveItemTorso,,,"(You remove the device and she nods rapidly.)  Thanks a million, this is much better.",,
ItemButt,,,I cannot concentrate this way.,,
RemoveItemButt,,,"Oof, it's finally over.",,
ItemBreast,,,"Oh, is that really necessary?",,
RemoveItemBreast,,,(She looks at you satisfied.),,
ItemNipples,,,"Oh, is that really necessary?",,
RemoveItemNipples,,,(She looks at you satisfied.),,
ItemVulvaVibratingWand,,,According to which rules is this allowed?,,
VibratingEgg,,,"I want to play with dice, not with eggs.",,
RemoveVibratingEgg,,,"Thanks, now I can concentrate on what matters.",,
SuspensionHempRope,,,Woe to the vanquished.,,
RemoveSuspensionHempRope,,,"Finally, I'm back on firm ground.",,
0,,,Welcome to the Gambling Hall. Shall we play a game?,,
0,,"Hello, I'm DialogPlayerName.  Pleased to meet you.",Pleased to meet you too.  I'm DialogCharacterName.,DialogRemove(),
0,,What's going on here?,In the Gambling Hall we play kinky games of chance.,DialogRemove(),
0,,Let's play a simple dice game.,"Let's play, good luck!","SimpleDiceController(""new"")",CanPlaySimpleDice()
0,70,(Struggle in your restraints.),Are you having fun?,,IsRestrainedWithoutLock()
0,,(Struggle in your restraints.),"(She checks your locks.)  I'm sorry, there's not much I can do.",,IsRestrainedWithLock()
0,30,(Play by your own rules.),(She looks expectant.),,FirstSubRestrained()
0,,Let's play fifteen and six.,(She gives you three dice.),"TwentyOneController(""new"")",CanPlayTwentyOne()
0,,Let's play Toothpick.,(She lays out 15 toothpicks.) Your turn sweetie.,"ToothpickController(""new"")",CanPlayToothpick()
0,10,I'd like to ask you some questions.,Don't be shy.  How can I help you?,,
10,11,Which games can I play here?,That depends on your reputation. Only a simple dice game at first.,,
10,20,Can you explain the rules to me?,"Of course, which game are you interested in?",,
10,,Can I get better at the games?,"No, they are games of chance.",,
10,,How do I get reputation?,By winning games.,,
