PlayerGagged,,,Lovely gag.  Do you need help with it?  Nod if you do.,,,
RescueIntroductionClass,,,Can you go check on the Introduction Class?  Sometimes new members get out of control.,,,
RescueShibariDojo,,,I've heard rumors of trouble going on at the Shibari Dojo.  Can you make sure everyone is fine?,,,
RescueShop,,,I think that something went wrong at the store.  Can you go there to help the vendor?,,,
RescueGambling,,,I think that something went wrong at the Gambling Hall.  Can you go there to help the players?,,,
RescuePrison,,,Guard the prison cell so that nothing happens there.,,,
MaidDrinksVictory,,,(You come back to DialogCharacterName with an empty drink platter.)  Well done!,,,
MaidDrinksDefeat,,,(You come back to DialogCharacterName with spilled drinks all over your uniform.),,,
MaidDrinkOnlineIncomplete,,,Hurry to the chat rooms girl!  The club members are thirsty.  (You need to serve drinks to 5 unique online players.),,,
MaidDrinkOnlineComplete,,,(She checks your empty tray.)  Well done!  Our members were satisfied?,,,
MaidCleaningVictory,,,(DialogCharacterName gets you back to the maid quarters and smiles.)  You've did it!,,,
MaidCleaningDefeat,,,(DialogCharacterName gets you back to the maid quarters and frowns.)  You failed to clean up in time.,,,
MaidInitiationTransition,,,(DialogCharacterName hugs you and gropes your red butt.)  You're now a full maid my sister.,,,
CantReleasePlayer,,,I'm sorry Miss.  I cannot help you.,,,
ItemMouth,,,"(She first shakes her head to avoid the gag, but finally surrenders as you silence her.)",,,
RemoveItemMouth,,,"(You remove her gag while she stretches her mouth.)  Thanks Miss, it's hard to dispatch maids with that gag.",,,
ItemEars,,,(She grumbles while you push some earplugs in.) I can't hear you properly now.,,,
RemoveItemEars,,,(You pull the earplugs out.) That's better I can hear you clearly now.,,,
ItemArms,,,(She sighs and turns around while you restrain her arms.)  It might be a little hard to work like that Miss.,,,
RemoveItemArms,,,(You free her arms and she nods happily.)  Thanks a lot Miss.,,,
ItemHands,,,(She submits to you while restrain you hands.)  You are a kinky one.,,,
RemoveItemHands,,,(You release her hands and she nods a little.)  Thank you Miss.,,,
ItemLegs,,,(She submits to you while you restrain her legs securely.)  I don't need to move anyway.,,,
