PlayerGagged,,,"Don't waste your time talking, I cannot understand.",,,
TouchSubAngry1,,,(DialogCharacterName comes in front of you.)  What are you doing?  Don't touch my pet.,,,
TouchSubAngry2,,,(DialogCharacterName grabs your arm.)  You're getting on my nerves.  Never touch my kitty.,,,
TouchSubAngry3,,,(DialogCharacterName grabs your hair.)  Touch my pet again and you'll get in a world of trouble!,,,
TouchSubPunishment,,,(She pulls you to her by the hair.)  Never touch my pet!  Now you're in trouble.,,,
KneelToTalk,,,"Submissive girl, what are you doing standing up in my presence?  Get on your knees if you want to speak to me.",,,
MistressExpulsion,,,We Mistresses have been speaking.  It seems you're not fit to wear the heels anymore.,,,
0,,,(She looks at you and grins.)  Be direct and don't waste my time naked girl.,,Player.IsNaked(),
0,,,My respects to you Mistress DialogPlayerName.,,"DialogLogQuery(""ClubMistress"", ""Management"")",
0,,,Greetings head maid DialogPlayerName.  Is there a problem that the sorority cannot handle?,,"DialogLogQuery(""LeadSorority"", ""Maid"")",
0,,,Greetings master kidnapper DialogPlayerName.  I trust you're having a good time hunting.,,"DialogReputationGreater(""Kidnap"", 100)",
0,,,Welcome little maid.  How can I help you?,,"DialogLogQuery(""JoinedSorority"", ""Maid"")",
0,,,Welcome kidnapper.  How can I help you?,,"DialogReputationGreater(""Kidnap"", 50)",
0,,,Be direct and don't waste my time girl.,,,
0,60,How come Sarah is locked down?,"Sarah you say?  Oh yes, the blond college student.  Mistress Sophie reserved a room for her punishment.","DialogRemoveGroup(""SarahQuest"")",SarahUnlockQuest(),SarahQuest
0,10,I have a few questions.,"Don't be shy, but don't waste my time.",,,
0,50,Who's that bound girl?,She's my kitty.  She stays with me while I work.,,,
0,100,Can we talk about chastity devices?,"Absolutely, what would you like to know?",,,
0,200,About Dominant/submissive relationships...,I'm listening.  How can I educate you?,,Player.CanTalk(),
0,600,About love relationships...,(She smiles.) What is it ?,,Player.CanTalk(),
0,400,About club Mistresses...,Speak up.  What would you like to know?,,Player.CanTalk(),
0,300,About club slaves...,"Yes, what would you like to know?",,Player.CanTalk(),
0,,"Sorry, I need to go.  (Leave her.)",,DialogLeave(),,
5,0,"Oops, I'm sorry Miss.  (Kneel for her.)",(She smirks as you kneel down for her.)  Good girl.  What can I do for you?,"DialogSetPose(Player, ""Kneel"")",,
5,0,(Bow your head and kneel.),(She smirks as you kneel down for her.)  Good girl.  What can I do for you?,"DialogSetPose(Player, ""Kneel"")",,
5,,We cannot talk then.  (Leave her.),,DialogLeave(),,
10,,What do you do in the club?,I'm both a Mistress and a manager.  I prepare collaring ceremonies and hold keys for chastity devices.,,,
10,20,Who owns the club?,"The club is owned by every member, but the Head Mistress is truly in charge.",,,
10,,Can I tie you up?,Don't make me laugh.,MistressAngryAdd(),GetMistressAngryCount(0),
10,,Can I tie you up?,Forget it girl.  Don't bug me with such stupid questions.,MistressAngryAdd(),GetMistressAngryCount(1),
10,,Can I tie you up?,I said forget it!  Ask me again and you'll be in a world of trouble.,MistressAngryAdd(),GetMistressAngryCount(2),
10,11,Can I tie you up?,Now you're in trouble!,,GetMistressAngryCount(3),
10,,Will you tie me up?,I don't have time for that.,MistressAngryAdd(),GetMistressAngryCount(0),
10,,Will you tie me up?,Forget it girl.  Don't bug me with these kinds of questions.,MistressAngryAdd(),GetMistressAngryCount(1),
10,,Will you tie me up?,I said forget it!  Ask me again and you'll be in a world of trouble.,MistressAngryAdd(),GetMistressAngryCount(2),
