PlayerGagged,,,Pacified big babies sound adorable when they try to talk.,,
CaughtHandsFree,,,What do you think you are doing?  Bad babies like you shouldn't be free to cause more trouble.,,
CaughtNoDiapers,,,What do you think you’re doing?  You should still be wear diapers.  You've been a very bad baby removing them.,,
CaughtWrongCloth,,,Those are not appropriate clothes for an adult baby to wearing in this nursery.  How am I supposed to check your diaper?,,
CaughtLeaving,,,Where do you think you're trying to sneak off to?,,
CaughtRepeat,,,Looks like someone doesn't know when to stop miss behaving.,,
CaughtPersistent,,,Baby DialogPlayerName again??  You are by far the worst behaved brat I have ever had to look after.,,
ItemMouth,,,"(She first shakes her head to avoid the gag, but finally surrenders as you silence her.)",,
RemoveItemMouth,,,"(You remove her gag while she stretches her mouth.)  Thanks Miss, it's hard to dispatch maids with that gag.",,
ItemArms,,,(She sighs and turns around while you restrain her arms.)  It might be a little hard to work like that Miss.,,
RemoveItemArms,,,(You free her arms and she nods happily.)  Thanks a lot Miss.,,
ItemLegs,,,(She submits to you while you restrain her legs securely.)  I don't need to move anyway.,,
RemoveItemLegs,,,(You release her legs from the restraint.)  Let me know if I can help you Miss.,,
ItemFeet,,,(She looks puzzled as you restrain her feet.)  I'll stay on guard here Miss.,,
RemoveItemFeet,,,"(You release her feet and she wiggles them.)  Thanks Miss, it was troublesome.",,
ItemNeck,,,(You strap the collar on her while she blushes.)  You're quite a Dominant Miss.,,
RemoveItemNeck,,,(You remove the collar around her neck.)  Thanks Miss.,,
ItemPelvis,,,(You snap the belt around her waist and crotch while she sighs.)  No more fun for the crew.,,
RemoveItemPelvis,,,(You unlock the belt from her waist and she smiles.)  Thanks a lot Miss DialogPlayerName.,,
ItemHead,,,(You strap the device on her head as she nods slowly.)  This will not make my job easier Miss.,,
RemoveItemHead,,,"(You remove the device and she nods rapidly.)  Thanks a million, this is much better.",,
ItemTorsoLeatherWhip,,,(She jumps from the searing pain on her breast.)  Ouch!  Miss Head Maid!,,
ItemTorsoLeatherCrop,,,(You whip her breast with the leather crop as she whimpers and bows her head.),,
ItemPelvisLeatherWhip,,,(You whip her butt hard as she sighs.)  I promise I'll work harder Miss Head Maid.,,
ItemPelvisLeatherCrop,,,(She grumbles as you strike her butt with the crop.)  A maid work isn't easy.,,
0,,,Welcome to the Nursery.  How can I help you?,,
0,,"Hello, I'm DialogPlayerName.  Pleased to meet you.","Pleased to meet you too.  I'm DialogCharacterName, I'm one of the nurses.",DialogRemove(),"DialogReputationLess(""ABDL"", 9)"
0,5,What is this place?,"This is the nursery, setup as a safe environment for adult babies in need of some motherly compassion, fun and discipline.",,
0,10,May I join the nursery?,"Of course, we are always welcoming to good little boys and girls.  You are aware of what the nursery's requirements of those in its care?",,"DialogReputationLess(""ABDL"", 0)"
0,20,I'm ready to join the nursery again.,"Wonderful, have you remembered the $10 fee for diapers?",ClothCheck(),"DialogReputationGreater(""ABDL"", 1)"
0,3,Who runs this nursery?,Nurses like me look after the adult babies.  We are supervised by the nursery's matrons.,,
0,,I can't stay to chat.  (Leave her.),,DialogLeave(),
012345,,(Money.),,DialogChangeMoney(200),
012345,,Delete item,lost,DeleteItem(),
012345,,Replace skill,Skill +1,ReplaceSkill()
012345,,ReduceRep,ABDL rep -1,"DialogChangeReputation(""ABDL"", -1)",
012345,,ReduceDom,Dom rep -1,"DialogChangeReputation(""Dominant"", -10)",
3,,Can I become a nurse?,We are not hiring nurses at the moment.  When we do we only hire club members with good reputations in the nursery and the maid sorority.,,
3,,Can I become a matron?,Only the top nurses are ever granted that privilege.,,
3,,Ooh Matron.,Carry on like that and you will feel a painsy-wainsy in your botty-wotty!,,
3,,Would I have to wear a uniform?,This uniform is mandatory for the nurses working here.  The matrons have a choice of uniforms.,,
3,0,I'll bear that in mind.,"If we do start hiring, we will put a notice up.",,
5,,Who would want that?,You would be surprised and we don't judge our charges.  Even some of the most dominant kidnappers also like a cuddle and nap time.,,
5,,I though this place was a bondage club.,It is indeed.  We can use a variety of items and methods to ensure our adult babies are always on their best behaviour.,,
5,,"Intriguing, do tell me more.","Club members can join in with our other adult babies, play in the nursery and be looked after by the nurses.",,
5,,Is this place just for people with that fetish?,We will also provide a time out discipline service for trouble makers. We could also prep or provide full care for slaves and failed kidnappers.,,
5,0,I want to talk about something else.,What can I help you with?,,
