PlayerGagged,,,"Wink if I should take pictures, nod if I should free you.",,
ItemMouth,,,(She licks her lips seeing the gag and allows you to silence her easily.),,
RemoveItemMouth,,,(You remove her gag and she sighs.)  I hope that was worth it.,,
ItemEars,,,"(You put some earplugs into place.) Oh, everything is quiet, hehe.",,
RemoveItemEars,,,(You pull the earplugs out.) Hehe. Now i can hear again. (She giggles.),,
ItemArms,,,(She hums a happy song as you restrain her arms.)  I hope you come often Miss.,,
RemoveItemArms,,,(You free her arms and she stretches a little.)  What will you use on me next?,,
ItemHands,,,"(You restrain her hands securely as she starts to giggle.)  Hehe, this is wonderful.",,
RemoveItemHands,,,(You release her hands.)  I wonder what you will use next. (She giggles.),,
ItemLegs,,,(You restrain her legs securely while she moans of pleasure.)  This is wonderful.,,
RemoveItemLegs,,,(You release her legs.)  The things you do for a great photo.,,
SuspensionHempRope,,,(You restrain her legs with the long hemp rope and suspend her by the feet from the ceiling.)  Oh my god!,,
ItemFeet,,,(She wiggles her feet playfully as you restrain them.)  This is great.,,
RemoveSuspensionHempRope,,,(You untie the hemp rope from the ceiling.)  Wow!  That was quite a ride.,,
RemoveItemFeet,,,(You release her feet.)  Sweet freedom?,,
ItemNeck,,,(You strap the collar around her neck.)  That definitely looks submissive.,,
RemoveItemNeck,,,(You remove the collar from her neck.)  Much better!,,
ItemPelvis,,,(She rocks her hips and struggles as you lock the device on her.),,
RemoveItemPelvis,,,"(She seems relieved as you unlock the device.)  Thanks, that was overdue.",,
ItemTorso,,,(You prepare a full body harness on her torso as she blushes.)  This is very erotic.,,
RemoveItemTorso,,,(You remove the body harness from her torso.)  The natural look should shine.,,
ItemHead,,,(You strap the device on her head as she hums a happy song.)  Does that not seem too anonymous?,,
RemoveItemHead,,,(You remove the device and she looks at you.)  That was quite an experience.,,
ItemBreastLeatherWhip,,,(She moans as you whip her breast.)  Those who want to be beautiful must suffer.,,
ItemBreastLeatherCrop,,,(She jumps and makes her breast wiggle with each hit.)  Anything for art.,,
ItemPelvisLeatherWhip,,,(She trembles and moans with each lash.)  This is gonna leave amazing marks on my skin.,,
ItemPelvisLeatherCrop,,,(You whip her butt with the leather crop as she wiggles it for more.),,
ItemButt,,,Does that apply to the picture?,,
RemoveItemButt,,,We should repeat that in the next photo session.,,
ItemBreast,,,A nice photo is a work of art.,,
RemoveItemBreast,,,"Huh, was that it?",,
ItemNipples,,,A nice photo is a work of art.,,
RemoveItemNipples,,,"Huh, was that it?",,
ItemVulvaVibratingWand,,,"Oh, ah, how am I supposed to focus on my work?",,
VibratingEgg,,,(She looks satisfied.) That facilitates the happy facial expression.,,
RemoveVibratingEgg,,,"Pity, we just got started.",,
0,,,"Hello, I'm DialogCharacterName, the club photographer and a model.",,
0,,"Hello, I'm DialogPlayerName. Pleased to meet you.",Pleased to meet you. Would you like to take a picture of you or me?,DialogRemove(),
0,100,I'd like to ask you some questions.,Don't be shy.  How can I help you?,,
0,,Please take a photo.,Please look friendly.,ShotThePlayerPhoto(),PhotographicSubCanAskForPhoto()
0,,(Wink for a photo.),Please look helpless.,ShotThePlayerPhoto(),PhotographicSubCanWinkForPhoto()
0,10,I'll change some clothes.,"Yeah, show me your wonderful body.",,PlayerCanChangeCloth()
0,20,Please use some toys on me.,What should I use?,,!PhotographicSubIsRestrained()
0,,Please use some toys on me.,She points to her restraints.,,PhotographicSubIsRestrained()
0,40,Please take off your clothes.,Where should I start?,,!PhotographicSubIsRestrained()
0,,Please change your pose.,"Alright, how is this?",SubChangePose(),PhotographicSubCanKeel()
0,,(Nod for help.),I'll help you right away.  (She releases you.),PlayerRelease(),IsRestrainedWithoutLock()
0,,(Nod for help.),"(She checks your locks.)  I'm sorry, you'll need to get a maid for that.",,IsRestrainedWithLock()
0,,Goodbye. (Leave her.),,DialogLeave(),
10,,(Remove hat.),"Go on, don't be shy.","PlayerClothRemove(""Hat"")",PlayerHatAvailable()
10,,(Remove gloves.),"Go on, don't be shy.","PlayerClothRemove(""Gloves"")",PlayerGlovesAvailable()
10,,(Remove cloth.),"Go on, don't be shy.","PlayerClothRemove(""Cloth"")",PlayerClothAvailable()
10,,(Remove bra.),Show me your curves.,"PlayerClothRemove(""Bra"")",PlayerBraAvailable()
10,,(Remove lower cloth.),"Go on, don't be shy.","PlayerClothRemove(""ClothLower"")",PlayerClothLowerAvailable()
10,,(Remove panties.),What an unrestrained beast.,"PlayerClothRemove(""Panties"")",PlayerPantiesAvailable()
10,,(Remove socks.),"Go on, don't be shy.","PlayerClothRemove(""Socks"")",PlayerSocksAvailable()
10,,(Remove shoes.),A first step.,"PlayerClothRemove(""Shoes"")",PlayerShoesAvailable()
10,0,I'll go to the closet.,If you say so.,PlayerDressBack(),Player.CanChange()
10,0,That's enough for now.,Alright then.,,
20,0,Use some toys for the head.,Is this alright?,"StartInventoryPlayer(""ItemHead"")",
20,0,Use some toys for the mouth.,Is this alright?,"StartInventoryPlayer(""ItemMouth"")",
20,0,Use some toys for the neck.,Is this alright?,"StartInventoryPlayer(""ItemNeck"")",
20,0,Use some toys for the arms.,What do you want?,"StartInventoryPlayer(""ItemArms"")",
20,0,Use some toys for the torso.,Is this alright?,"StartInventoryPlayer(""ItemTorso"")",
